"emp_no","last_name","first_name","sex","salary"
429910,"Aamodt","Tomofumi","M",55009
449331,"Aamodt","Sajjad","F",40000
276101,"Aamodt","Deborah","M",48791
428594,"Aamodt","Breannda","M",87334
35101,"Aamodt","Christ","F",59452
99276,"Aamodt","Takanari","M",85243
103736,"Aamodt","Garnet","F",47025
269605,"Aamodt","Sudhanshu","M",47482
290159,"Aamodt","Leandro","F",59291
417814,"Aamodt","Yechiam","M",69810
19898,"Aamodt","Vidar","M",81410
18182,"Aamodt","Dekang","F",52180
50775,"Aamodt","Shai","F",40000
12791,"Aamodt","Mokhtar","M",40000
36577,"Aamodt","Mahmut","M",60603
43174,"Aamodt","Mariusz","M",51185
51897,"Aamodt","Rajmohan","F",50543
28387,"Aamodt","Nahla","F",69980
109883,"Aamodt","Jeanna","M",40000
450068,"Aamodt","Danco","F",53353
