"emp_no","last_name","first_name","dept_name"
10001,"Facello","Georgi","Development"
10002,"Simmel","Bezalel","Sales"
10006,"Preusig","Anneke","Development"
10008,"Kalloufi","Saniya","Development"
10012,"Bridgland","Patricio","Development"
10014,"Genin","Berni","Development"
10016,"Cappelletti","Kazuhito","Sales"
10018,"Peha","Kazuhide","Development"
10021,"Erde","Ramzi","Development"
10022,"Famili","Shahaf","Development"
10023,"Montemayor","Bojan","Development"
10025,"Heyers","Prasadram","Development"
10027,"Reistad","Divier","Development"
10028,"Tempesti","Domenick","Development"
10031,"Joslin","Karsten","Development"
